Month	Day	Hour	wtr	CO2dep	O2dep
7	19	20	14.697	80.95493126	-37.58104773
7	19	22	14.601	81.05554184	-40.26568192
7	20	0	14.361	81.47014843	-41.38787057
7	20	2	14.194	80.98657626	-42.19142558
7	20	4	14.026	80.09109741	-42.88419849
7	20	6	13.93	79.07516096	-42.2247517
7	20	8	13.882	78.72815546	-43.85490775
7	20	10	13.882	78.63599323	-44.50604907
7	20	12	13.978	79.58600037	-43.4507058
7	20	14	14.002	78.90688056	-41.35950895
7	20	16	14.074	77.30587886	-41.83703729
7	20	18	14.098	77.45799892	-41.33242077
7	20	20	14.122	76.95005271	-40.45442978
7	20	22	14.002	77.79964498	-42.16464781
7	21	0	13.834	80.52649097	-44.60835812
7	21	2	13.69	81.63263806	-46.02416661
7	21	4	13.546	83.26327054	-47.25891995
7	21	6	13.425	81.67735449	-45.63315085
7	21	8	13.401	82.95000683	-46.32619033
7	21	10	13.594	82.34870654	-44.21497064
7	21	12	13.546	83.27376158	-45.79181687
7	21	14	13.906	83.08615363	-41.64647509
7	21	16	14.026	83.24514246	-40.43280104
7	21	18	14.074	81.76534902	-39.02264681
7	21	20	14.002	82.07480265	-39.41491644
7	21	22	13.858	83.56572757	-41.9131499
7	22	0	13.666	85.93059734	-43.90454583
7	22	2	13.497	85.44537531	-44.87649954
7	22	4	13.257	85.4170345	-44.66879263
7	22	6	13.112	80.59323477	-43.9977721
7	22	8	13.112	83.50347072	-47.07480854
7	22	10	13.377	82.85293156	-43.07951396
7	22	12	13.786	81.72504021	-39.70940899
7	22	14	14.433	81.5262008	#VALUE!
7	22	16	14.385	82.20278509	-30.73615661
7	22	18	14.673	79.75590291	-26.68715511
7	22	20	14.649	79.31201624	-28.21257689
7	22	22	14.457	80.40185414	-29.32606672
7	23	0	14.266	80.17877784	-31.09073961
7	23	2	13.93	84.08261559	-34.59720528
7	23	4	13.762	80.81410242	-34.08719863
7	23	6	13.642	81.30649402	-35.31022627
7	23	8	13.786	79.7434443	-33.91750697
7	23	10	14.026	78.60043887	-31.72953448
7	23	12	14.529	76.30741804	-28.10802835
7	23	14	15.151	75.61000315	-23.32804555
7	23	16	15.581	74.10668587	-19.70959967
7	23	18	16.129	71.99178454	-20.17779827
7	23	20	16.01	73.0990916	-19.18713693
7	23	22	15.891	72.83396522	-23.93877421
7	24	0	15.748	73.57790472	-24.4759143
7	24	2	15.485	74.78765292	-23.87432019
7	24	4	15.294	74.45153369	-22.66846848
7	24	6	15.175	75.61076841	-24.45907859
7	24	8	15.509	71.48030514	-21.62231573
7	24	10	15.963	71.02781007	-19.2136148
7	24	12	17.082	67.58777008	-10.73004376
7	24	14	18.295	64.55071208	-5.736341394
7	24	16	19.674	64.28058091	0.35649761
7	24	18	19.841	63.27881673	-1.466467271
7	24	20	20.388	62.17552643	-0.09817344
7	24	22	19.841	62.97994315	-5.262462829
7	25	0	19.318	62.23442252	-11.07072692
7	25	2	18.485	65.19145598	-13.56080266
7	25	4	17.772	66.12031016	-19.59734079
7	25	6	17.558	67.47283584	-23.06831936
7	25	8	18.295	62.20822437	-13.96586812
